6.413560,2.180268,-179.987000,0.000000,0.000000,X,X,X,X,X,X,X,X
6.413417,2.180141,179.983981,2.756470,2.726292,4,0,0.794613,0.045495,2.944551,-0.057160,-3.348247,-173.764871
6.412701,2.179940,179.890443,2.246343,4.838170,4,0,0.798124,0.021619,2.978595,0.173758,29.626646,179.669869
6.402147,2.180101,179.676010,2.732442,2.798726,4,0,0.789030,0.012394,2.978272,1.170218,29.256525,-176.628757
6.386993,2.179981,179.535028,3.606701,3.609870,4,0,0.780978,0.012718,2.957919,-0.274277,-1.002478,-177.950679
6.367547,2.179885,179.325286,4.568577,4.471749,4,0,0.765061,0.011375,2.921149,2.111648,-1.895624,177.169688
6.344107,2.179941,179.062965,5.128467,5.128154,4,0,0.760108,0.010110,2.936215,1.087124,31.600252,-177.232323
6.319218,2.180317,179.009715,5.128410,5.128171,4,0,0.743311,0.008058,2.854460,-0.533987,-2.966290,-173.956122
6.294243,2.180760,179.012203,5.127653,5.128276,4,0,0.752541,0.008059,2.866536,-0.478964,-0.777551,-177.161671
6.269268,2.181219,179.010685,5.127439,5.128300,4,0,0.746532,0.008018,2.816394,-0.473315,-2.441156,-169.066646
6.244272,2.181670,179.007398,5.127805,5.128250,4,0,0.757488,0.007376,2.831707,0.989792,-2.470445,-179.904457
6.219268,2.182105,179.007704,5.128003,5.128221,4,0,0.747317,0.006417,2.767915,-0.483622,-2.555541,-174.451669
6.194284,2.182533,179.010029,5.128000,5.128222,4,0,0.751691,0.006425,2.761016,-0.428731,-2.618780,-173.338428
6.169292,2.182964,179.011087,5.127877,5.128233,4,0,0.755995,0.005819,2.747705,0.840463,-2.928825,178.209384
6.144295,2.183398,179.010864,5.127982,5.128224,4,0,0.747734,0.004850,2.693322,-0.387289,-1.025354,-177.144105
6.119323,2.183833,179.011290,5.127931,5.128232,4,0,0.750444,0.004876,2.676438,-0.418022,-3.810243,-172.929240
6.094308,2.184269,179.011448,5.128070,5.128216,4,0,0.752916,0.003691,2.662591,1.787755,-1.941792,177.348508
6.069339,2.184703,179.011537,5.127923,5.128227,4,0,0.747650,0.003378,2.616579,-0.365892,-5.509380,-178.478954
6.044339,2.185137,179.010981,5.128050,5.128215,4,0,0.758644,0.003038,2.632235,0.615748,33.161513,177.384943
6.019375,2.185572,179.010638,5.127816,5.128231,4,0,0.756708,0.003036,2.598026,0.522962,-1.998548,179.309442
5.994353,2.186007,179.011201,5.128038,5.128215,4,0,0.756424,0.001452,2.572007,1.307443,36.306536,-176.983624
5.969387,2.186440,179.012565,5.127849,5.128225,4,0,0.759019,0.001670,2.555552,0.658603,35.590522,177.169932
5.944415,2.186874,179.011800,5.127833,5.128224,4,0,0.756571,0.001375,2.520461,1.363178,-1.613546,-176.838035
5.919399,2.187310,179.011333,5.127908,5.128222,4,0,0.759572,0.000033,2.505766,1.156511,32.916409,-179.937322
5.894419,2.187743,179.012777,5.127780,5.128230,4,0,0.761101,0.000002,2.485695,1.855559,33.436681,-174.509696
5.869408,2.188176,179.012798,5.128019,5.128217,4,0,0.760680,-0.001613,2.458961,0.599849,34.835010,178.242089
5.844432,2.188611,179.011912,5.127866,5.128225,4,0,0.766469,-0.001414,2.450415,0.853591,32.153862,-178.817121
5.819442,2.189043,179.013389,5.127967,5.128219,4,0,0.762551,-0.002310,2.411507,1.700230,-1.439758,179.739987
5.794450,2.189477,179.013982,5.127980,5.128219,4,0,0.766413,-0.002860,2.397587,0.281464,35.312966,177.927673
5.769459,2.189911,179.012711,5.127976,5.128218,4,0,0.766620,-0.003467,2.371559,0.947560,-0.808728,-178.726220
5.744459,2.190344,179.014231,5.127981,5.128221,4,0,0.764532,-0.004059,2.341103,-0.149240,-0.251280,-177.952368
5.719474,2.190777,179.013546,5.128033,5.128218,4,0,0.766019,-0.004470,2.318312,1.070290,-0.972079,179.848338
5.694510,2.191211,179.013973,5.127804,5.128235,4,0,0.763974,-0.004912,2.286700,0.630993,-0.139288,178.178561
5.669493,2.191644,179.014343,5.128087,5.128213,4,0,0.765556,-0.005415,2.264902,0.902440,-0.767014,179.637146
5.644510,2.192075,179.015940,5.127942,5.128224,4,0,0.761053,-0.006078,2.227053,0.133629,-0.858030,-178.713307
5.619532,2.192506,179.016756,5.127848,5.128230,4,0,0.768893,-0.006157,2.224230,0.064056,-0.493474,-179.822336
